(645,23d1) , (3b3,53f) , #203c#1e5c#ed2#1e5c#1f32#c6c#1e5c#ef2#15bf#
(49,575) , (1d5,c3d) , #103#326#b1#d5#2c0#63#360#b1#d3#
(cc7,1819) , (3cb,82db) , #310#15a2#462#2af#1408#1205#bb3#147e#2af#1fa#
(7d7,469f) , (1f3,24d) , #44ef#340f#417f#10dc#2ded#1891#3c62#29d1#1838#
(1b3b,9be9) , (1f3,24d) , #77a8#3091#5179#7a80#7c05#1388#75d6#23dc#8198#
(1ddd,4c5d) , (3cb,82db) , #33f3#48a2#288e#3dbd#755#482b#2bf2#28a9#3dbd#47ca#
(2273,4f9d) , (1f3,24d) , #3c49#1ecd#3294#2b04#1ccb#31f0#241c#1ac3#219c#
(1303,58cd) , (3cb,82db) , #1a8d#32f3#1a33#28c0#28f6#4f9#1620#4c0#28c0#3c12#
(1c81,4a3f) , (1d5,c3d) , #2226#e81#2098#434c#2a37#2510#2f9c#2098#489e#
(313,30a1) , (313,30a1) , #22aa#526#2919#526#2def#526#2b71#116a#2919#21ad#
(1fab,301d) , (1f3,24d) , #2d30#2be4#294a#ab2#21eb#e68#2918#190a#24e2#
(68d,b251) , (68d,b251) , #5f23#6a04#35ce#9629#8eef#58dd#300e#946c#14dd#70b#
(aa9,70eb) , (1d5,c3d) , #5724#205d#3f8a#293a#13e0#30f2#3957#3f8a#b66#
(fb,9af) , (43,3d3) , #269#152#2c7#2aa#2c7#61c#2c7#756#
(3071,9479) , (6bd,2fa1) , #4a33#829e#b9d#6fa3#7449#61c9#b14#2e72#b62#2be7#
(579b,5d35) , (b3,3d3) , #3cd3#420#4052#139#4052#142e#4052#1672#
(b3,3d3) , (b3,3d3) , #3a4#133#105#1ef#105#85#105#33#
(ca1,2baf) , (ca1,2baf) , #f6f#287b#1ea#1a0b#1319#937#5ef#1ea#217f#40f#
(283,15eb) , (3cb,82db) , #2f2#756#10db#34a#c32#56d#8de#112f#34a#1146#
(2dd1,6f01) , (8c3,d4b) , #6eab#5125#1df2#5aee#1f3e#375a#bf8#6b05#3108#
(2a9,457) , (6bd,2fa1) , #2dd#99#2f6#64#2c#a0#66#169#144#29#
(207b,34ab) , (43,3d3) , #1c80#1a4f#254f#338#254f#d8b#254f#465#
(ac7,2039) , (1f3,24d) , #1d52#1168#269#685#1542#10b#9ab#146d#2d8#
(3e5,23fb) , (8c3,d4b) , #5e0#18a1#1551#2231#1e5d#1fdf#1a76#9eb#1b5e#
(203,ec5) , (43,3d3) , #b8e#704#59f#15b#59f#e36#59f#a14#
(1df,5ed) , (1f3,24d) , #3d7#76#4a3#77#156#1e3#2f1#2c9#572#
(5441,64bb) , (5441,64bb) , #970#2227#916#916#1d7f#1d5b#20b9#916#19c6#19c6#3259#
(d85,2699) , (b3,3d3) , #28#62#672#16e4#672#25de#672#2670#
(cc5,2ed9) , (b3,3d3) , #2585#1140#ee7#16e#ee7#23e5#ee7#2061#
(1ae7,65c3) , (1ae7,65c3) , #330d#1772#f9d#408f#27aa#3d78#5a33#985#48e1#4321#53e9#
(7b7,f01) , (1f3,24d) , #2ea#6c6#500#ea3#2ae#31e#965#f8#7bc#
(1423,1627) , (6bd,2fa1) , #41a#425#81f#a7e#15d9#10c0#1248#57e#e4#dc5#
(3439,41b1) , (1f3,24d) , #3b9#1a9#2562#31ff#167c#28ca#369a#15f0#16e5#
(67f3,b3cf) , (8c3,d4b) , #ac1f#3d2a#1bf9#48c7#262a#6ac5#f82#9611#9024#
(4d9,b0f) , (6bd,2fa1) , #7e8#700#20#640#1eb#4b5#21f#3c0#a0c#38a#
(293,461) , (1f3,24d) , #234#2d9#174#a6#219#15e#1f8#1c#cd#
(2d65,34ab) , (8c3,d4b) , #bd9#172b#2138#ae1#2324#3234#530#2fbf#602#
(9b47,aa65) , (3cb,82db) , #aa3d#28cf#6f64#608#6da7#6c65#2fc0#1156#608#1d14#
(49,70f) , (1d5,c3d) , #619#475#6b0#5c#29c#181#5bc#6b0#3b7#
(74f,2699) , (74f,2699) , #1761#1483#1c9a#2514#624#703#19cf#76e#76e#a40#
(15fd,17ab) , (8c3,d4b) , #1100#3c6#8e2#6ee#d3d#1659#120c#c3d#8b2#
(add,168d) , (add,168d) , #e75#15e9#ac1#ac1#c74#11a9#740#e45#ac1#636#
(71d,2953) , (71d,2953) , #1cb9#28fc#11f1#17f7#2c#224f#69a#2252#10d7#bcf#
(39e5,778f) , (1f3,24d) , #75d5#1fd1#64d0#4254#5c8e#52a6#3ee5#551e#73a2#
(17f3,9563) , (1f3,24d) , #2645#10a4#2599#1a81#532d#24b7#11e6#1792#296f#
(55d,1def) , (1d5,c3d) , #e5c#6cf#1c3b#a22#321#9fa#169a#1c3b#d54#
(216d,26bd) , (216d,26bd) , #1f5e#ad8#1a43#160f#588#1afa#ad8#160f#f12#588#25cc#
(2965,339d) , (1f3,24d) , #f4a#31#2983#9c8#10a9#2d7a#5c9#661#2e0d#
(151,2b1) , (6bd,2fa1) , #216#36#14#100#241#150#254#276#21f#231#
(d85,1d0f) , (6bd,2fa1) , #773#876#f6b#181c#536#f43#244#e7#228#12b0#
(66d,4567) , (3b3,53f) , #33e8#14a5#1261#14a5#1568#1632#14a5#37e4#1d1d#
(b45,cdd) , (b3,3d3) , #5bf#568#576#b52#576#563#576#82d#
(375d,4aa5) , (43,3d3) , #81b#3cee#3366#c22#3366#1a67#3366#234a#
(134f,2c7b) , (b3,3d3) , #e03#171e#2b28#2b08#2b28#1ad1#2b28#10e8#
(34d9,3f13) , (8c3,d4b) , #33cd#17d7#1023#1f53#148a#ab9#3ba3#3422#1439#
(db,fd) , (3b3,53f) , #13#81#8e#81#b#94#81#bf#d8#
(1547,213b) , (6bd,2fa1) , #1db8#f72#1ef3#f85#1983#499#be0#207#188f#45#
(140b,396d) , (8c3,d4b) , #3945#3cb#34fd#1ec7#aca#64#1808#2abf#21ff#
(43,3d3) , (43,3d3) , #2f9#263#136#2c#136#64#136#33f#
(2435,8b25) , (3cb,82db) , #32fb#57a#3280#5874#6f38#7bf4#1e82#3100#5874#3906#
(bb,24d) , (3cb,82db) , #1a5#48#a1#1d6#2a#38#6b#70#1d6#47#
(2461,5c95) , (1f3,24d) , #4b3b#471d#2da8#49b9#4bb2#962#3749#1cc1#497a#
(126b,1b61) , (3b3,53f) , #f7d#1af6#780#1af6#d71#e2a#1af6#109f#152e#
(4ed,9c5) , (b3,3d3) , #28#62#33#308#33#64#33#29#
(397,6b5) , (43,3d3) , #1b7#276#1ed#29c#1ed#327#1ed#2a3#
(8cf,459b) , (3cb,82db) , #23fa#41c1#178c#c2c#246b#1d8d#3448#a4#c2c#24a1#
(5e77,9be9) , (1f3,24d) , #6669#4e0d#24c4#9900#2d34#4abb#5c22#1ee7#1529#
(1063,17bd) , (1d5,c3d) , #1059#59c#92b#c3a#8bd#14ba#3cc#92b#1527#
(401b,532d) , (b3,3d3) , #467#2172#1784#497e#1784#51f5#1784#4da8#
(3029,3eed) , (8c3,d4b) , #39a4#298d#12a2#20f4#386b#2991#3565#456#34d2#
(5105,9973) , (5105,9973) , #12fc#4fbd#75a1#8df7#4fbd#38c8#c5e#c5e#1b97#2856#8949#
(835,d49) , (1f3,24d) , #bc8#3ae#81e#ee#7e7#979#1cb#270#b24#
(45df,5405) , (3cb,82db) , #34e1#1397#31db#372a#92#2384#15e2#3c9e#372a#24e3#
(23f3,9973) , (3b3,53f) , #2d17#2a7c#82b7#2a7c#535a#b9c#2a7c#3430#2cf3#
(dbb,f1d) , (6bd,2fa1) , #92d#66c#4e5#2e#468#e72#302#ad3#bb4#47#
(c8f,17bd) , (3cb,82db) , #1605#bff#107d#23f#4b3#96f#416#3fc#23f#c2#
(221,4ad1) , (8c3,d4b) , #2b3d#47d0#58c#3bd9#f85#2aa5#b44#1505#4446#
(1051,660b) , (6bd,2fa1) , #4c7e#3c1f#17ac#3949#58c8#2571#5b1d#5b78#3da#300a#
(ed5,120b) , (b3,3d3) , #4b6#a07#9c3#e24#9c3#67#9c3#1df#
(bcf,3587) , (bcf,3587) , #2f2f#2ab8#2d83#338d#237e#209a#a40#4a5#1819#d23#
(5b03,6029) , (1d5,c3d) , #3d55#550e#30b8#2c75#f9#30a0#3070#30b8#5ceb#
(d17,1b13) , (43,3d3) , #18e9#ead#3a5#7dc#3a5#790#3a5#160b#
(9ef,4e83) , (9ef,4e83) , #2a8a#3dd1#43dc#231e#2600#3921#43dc#1f#4713#f8f#
(83,8d1) , (3cb,82db) , #4e1#845#279#cf#6b2#39#76e#7b3#cf#74f#
(12ef,34c7) , (1f3,24d) , #1810#14d1#caf#1198#b5d#1eb2#27b2#1363#2598#
(9317,ad59) , (1d5,c3d) , #72d5#2bb7#45ab#a5c#5d16#773a#1ee8#45ab#a6d1#
(d5,4b7) , (3b3,53f) , #45b#2a8#282#2a8#46d#1fc#2a8#2db#b0#
(e33,16b1) , (e33,16b1) , #8c5#11f7#4f2#4f2#7f#5c5#e1d#92c#5c5#41#
(78ab,a2eb) , (1f3,24d) , #5ceb#52f0#53ea#9f57#4242#505a#8978#2477#1f46#
(19cd,20dd) , (6bd,2fa1) , #346#1469#17b6#1a32#190f#85b#50e#ef7#181e#93d#
(229,7ab) , (43,3d3) , #c4#3c2#6b3#6d3#6b3#18f#6b3#598#
(f7,791) , (1d5,c3d) , #4f#58#3d#681#765#707#3a7#3d#e8#
(222b,9485) , (3b3,53f) , #321d#32f2#1212#32f2#30ee#6d79#32f2#a7d#652b#
(4a0b,5257) , (4a0b,5257) , #25d7#225f#a05#2c0f#2ed2#516f#2e72#47da#2e72#e88#3d5b#
(6d3,2aa9) , (b3,3d3) , #1b89#1c92#9e1#1864#9e1#fa0#9e1#170f#
(1d5,c3d) , (b3,3d3) , #2d9#14c#9f3#13d#9f3#38a#9f3#16e#
(383,10f7) , (43,3d3) , #61b#10d6#2#68e#2#e33#2#10d7#
(5b3,111b) , (1f3,24d) , #b46#c6#64e#217#5bd#d79#515#2a1#fd0#
(511,791) , (3cb,82db) , #11f#4ab#466#37b#2c#761#3c0#544#37b#682#
(2a5,1175) , (b3,3d3) , #f5f#ccc#983#4f4#983#d7#983#735#
(2b,6995) , (b3,3d3) , #4d06#63c#613e#3c7e#613e#5fa3#613e#699#
(1b75,7fe7) , (b3,3d3) , #417e#4cf0#19b5#5f66#19b5#64#19b5#16da#
(14e5,1e31) , (3b3,53f) , #1cc#76f#772#76f#c61#783#76f#1b01#775#
(e4d,2c3f) , (b3,3d3) , #24df#16fa#280d#255c#280d#1338#280d#1760#
(2119,26bd) , (3b3,53f) , #b96#2234#14fc#2234#6c5#18d2#2234#1e02#1487#
(35b,5dd) , (b3,3d3) , #164#23c#5c1#7b#5c1#37a#5c1#203#
(1703,411d) , (b3,3d3) , #15c6#242b#a12#1075#a12#137b#a12#2ccd#
(4061,5fbf) , (6bd,2fa1) , #c82#218d#3e74#5414#47e8#4dd9#1087#130f#28f5#c2e#
(d63,10f7) , (43,3d3) , #3f4#66f#622#a6b#622#977#622#4e3#
(1fd,21ad) , (3cb,82db) , #1208#69e#13ac#187c#1c8#20bb#11b8#5f7#187c#175a#
(1541,8c45) , (8c3,d4b) , #5997#422a#86c6#7e50#2c#65e2#8632#6f9#1b76#
(eb,86f) , (eb,86f) , #50#4e9#620#64c#468#1b#330#520#
(3469,4ad1) , (1f3,24d) , #48f2#a34#360c#1545#2cb1#42fc#2678#1c1f#49db#
(2bb,30d) , (1f3,24d) , #173#20e#10c#218#294#1c5#2fe#269#17d#
(1bb5,20cf) , (1bb5,20cf) , #4d#136a#8c4#8c4#1f1#1874#1321#ae2#1f76#e6b#c4d#
(1023,18af) , (b3,3d3) , #1d2#5ee#b04#5ff#b04#aa7#b04#e07#
(1bb5,286d) , (b3,3d3) , #62#912#253#106b#253#d1c#253#2653#
(592d,a1e9) , (3b3,53f) , #3c78#444e#97a9#444e#37de#6801#444e#3ed9#ecf#
(277,31f) , (3b3,53f) , #140#165#136#165#16#91#165#99#25f#
(383,c59) , (3cb,82db) , #392#a79#5bb#976#583#386#809#9c4#976#303#
(14f3,b34d) , (3cb,82db) , #4e95#b2e2#735c#532e#b2cb#65e3#9280#9909#532e#6185#
(511,887) , (1d5,c3d) , #97#1ed#26a#803#766#d2#542#26a#22f#
(4cf,afd) , (8c3,d4b) , #1d8#2e3#a7d#500#9dd#457#40f#7f6#a60#
(2b,1a1b) , (2b,1a1b) , #2e1#1759#b92#125d#641#eec#641#b92#a69#
(2ae5,7b53) , (3cb,82db) , #54e2#7166#924#608#31f#6a42#693e#624c#608#4490#
(a49,10d5) , (1f3,24d) , #102e#7ed#f36#760#10c7#12b#a06#376#8de#
(43f,125b) , (6bd,2fa1) , #3bb#1e3#38b#245#bb1#cb#b84#973#ef3#8f9#
(5f15,b7eb) , (5f15,b7eb) , #67d4#173e#35a5#a6f3#173e#ae08#1fd6#a1a#79e2#1fd6#93c7#
(19d,1249) , (1f3,24d) , #640#961#11c1#1227#bb1#9c4#7b9#27e#83#
(9e05,a883) , (9e05,a883) , #5988#247#a343#7712#a3ba#97dd#5535#9581#9581#771f#58ae#
(e69,197f) , (1d5,c3d) , #1148#398#168a#15c6#869#5c0#575#168a#e4f#
(508d,64cf) , (43,3d3) , #3162#15ce#45ee#46ef#45ee#13fe#45ee#23f6#
(b63,1985) , (b3,3d3) , #1426#908#a80#7d3#a80#f73#a80#ff2#
(1849,7d6f) , (6bd,2fa1) , #315c#324b#3fa6#5876#743b#eed#5242#68b1#29f2#16e5#
(eff,544f) , (eff,544f) , #3fd1#96b#458b#458b#9c8#1d8b#3829#3829#458b#3c98#
(25b1,35b3) , (1d5,c3d) , #2450#1fa8#1216#bb3#2820#2eaf#3020#1216#16ed#
(7bb,30a1) , (43,3d3) , #2b1f#2c92#2be4#10fa#2be4#1dbf#2be4#2d6b#
(7cd,ca1) , (1d5,c3d) , #4a7#7cd#256#c02#7a2#241#39a#256#6a3#
(13e5,2c7b) , (1f3,24d) , #1672#3f#18ce#18ff#213d#9d0#23f6#1493#23c9#
(265,439) , (3cb,82db) , #1e0#e0#175#287#318#236#36#31a#287#34#
(7d03,b039) , (3b3,53f) , #49d9#3a20#ec5#3a20#971e#1a01#3a20#a5be#9175#
(16ab,1bb5) , (16ab,1bb5) , #bd9#1927#103c#112a#1795#10ec#1927#1795#1795#f9c#d4b#
(1f61,2d11) , (1f3,24d) , #16b5#13b5#b44#1391#1c15#c60#6d1#523#1395#
(603,1483) , (603,1483) , #30d#6b7#136b#1050#1bb#b8d#f99#97e#1050#492#
(295,22cd) , (43,3d3) , #2bb#2ae#134a#325#134a#1f2#134a#567#
(cb9,19f1) , (b3,3d3) , #1956#274#14de#e6b#14de#187c#14de#3ac#
(b43,1705) , (b3,3d3) , #d12#1ac#450#b5d#450#1336#450#1077#
(e27,324d) , (3cb,82db) , #1771#15e2#3169#1423#2ff5#24d1#b7#68d#1423#16a8#
(58d,14ad) , (3cb,82db) , #4ce#9ab#b4e#149#62#95a#dbe#1474#149#f9#
(120b,ab23) , (8c3,d4b) , #a642#3b7d#4686#9a1e#9194#6565#6290#480#21e#
(246b,4427) , (43,3d3) , #3c93#2089#375c#4223#375c#b96#375c#835#
(113,31f) , (6bd,2fa1) , #18c#106#6a#c4#168#10#1dc#215#190#85#
(2d25,4567) , (2d25,4567) , #28#1fb4#27fd#1fb4#35#b3e#283a#35#2d58#1286#103#
(d7b,1001) , (d7b,1001) , #57e#e83#89e#d90#cac#1e5#f4d#f4d#1e5#894#
(1b55,db59) , (3cb,82db) , #6252#3fbe#c72c#9333#a5fc#1242#2afe#4bf0#9333#ac96#
(7a1d,8b1b) , (8c3,d4b) , #65d9#4ff7#2f1b#46c0#5113#18a8#3b3c#84f6#220c#
(125,2c9) , (3b3,53f) , #8f#d6#57#d6#128#278#d6#cd#83#
(755,1811) , (6bd,2fa1) , #3f0#b81#302#128a#a7e#f35#5ec#153a#309#629#
(1047,1321) , (3cb,82db) , #10f1#240#8e0#d80#2e9#148#a44#79e#d80#12e9#
(2ac7,8e97) , (3b3,53f) , #7024#84f9#6907#84f9#35a7#4141#84f9#5493#34f9#
(32b,995) , (3cb,82db) , #28#45e#13f#700#51d#79c#749#7a7#700#11b#
(d7,15b9) , (3cb,82db) , #15b1#1476#1457#2ca#157d#dd2#45e#1501#2ca#255#
(331f,5a59) , (1d5,c3d) , #1021#4e34#585f#3841#1056#2a02#56a4#585f#4d16#
(2105,42d9) , (43,3d3) , #1039#148e#3933#3b74#3933#95b#3933#42d1#
(ccd,31a3) , (8c3,d4b) , #d1d#1ebe#19f9#18c3#2647#11b0#9ed#221b#9cd#
(7e3,d09) , (1d5,c3d) , #a94#3a7#b65#69f#7c0#a12#452#b65#5ae#
(14cb,242b) , (1f3,24d) , #b2a#23c0#12c6#235c#21de#7a0#d43#1840#12e5#
(2c77,301d) , (1f3,24d) , #285b#214c#fa7#1f3d#2990#2cf#29b#131a#1a3d#
(506f,522d) , (b3,3d3) , #4d36#2c3a#12aa#460e#12aa#3534#12aa#1dd6#
(8a1,fa9) , (1d5,c3d) , #12b#59c#57b#c98#5f9#538#93e#57b#158#
(2af5,34b5) , (1f3,24d) , #1016#24#256a#9cb#15a9#b14#18cf#1cd9#1673#
(35fb,4567) , (1d5,c3d) , #34ff#13ab#41e6#26b9#423a#84c#3e8d#41e6#3657#
(1a0f,26d7) , (1d5,c3d) , #158f#754#122f#89c#fc0#1caf#fa8#122f#1615#
(af3,2bb5) , (3cb,82db) , #7e8#1cb9#2ac8#2535#121c#1f3f#1d95#2341#2535#12df#
(6ef,f3d) , (6ef,f3d) , #170#29a#2f8#481#5c8#481#4fc#b53#ce9#
(14e7,2aa7) , (14e7,2aa7) , #b13#15dd#2523#f9a#bfb#2532#2443#56b#56b#bfb#22b6#
(1afb,2621) , (3cb,82db) , #e1#be9#1539#1fc4#1454#1360#2b7#1f20#1fc4#604#
(3c29,6247) , (3c29,6247) , #12d0#164a#604c#1821#30c7#4b49#3123#1821#29b4#3528#31df#
(2ff5,484d) , (b3,3d3) , #2919#d1f#190c#430a#190c#110c#190c#45f2#
(2033,71d7) , (43,3d3) , #30d2#5bb4#3f76#2c91#3f76#2a1f#3f76#278#
(3,499) , (6bd,2fa1) , #a0#440#293#f3#16b#19f#29d#2b9#208#23e#
(2437,38bf) , (6bd,2fa1) , #1007#2923#278a#25d2#15c0#f7d#70d#1cb5#d7f#1941#
(9c01,b42f) , (3b3,53f) , #41bf#2220#96e#2220#16ca#85a6#2220#6db7#616a#
(c49,1cd3) , (43,3d3) , #23#1ad8#442#fe7#442#121#442#86#
(2dc7,3b7d) , (2dc7,3b7d) , #b63#1a5#2b67#1f92#15ac#11cc#7f#2a10#15ac#2b67#36cb#
(2053,91cf) , (2053,91cf) , #54d5#6589#458c#50bf#270e#3365#79d3#9069#80bd#390e#6139#
(3ef,9bb) , (3ef,9bb) , #65b#48#47a#3f#5bb#661#50e#50e#811#
(f4f,125b) , (f4f,125b) , #fea#7be#2e2#7be#1130#f36#60d#cc4#2a#508#
(2ab3,8ee5) , (b3,3d3) , #5fe0#3525#666e#3703#666e#7845#666e#3979#
(240b,2d11) , (8c3,d4b) , #1c99#1971#b0a#2be9#2a3f#118c#f26#2179#237c#
(3acd,5057) , (3acd,5057) , #3be7#3f03#25e4#33f#17f6#3d6d#3a90#11ed#3a90#1e96#45d3#
(236f,2621) , (8c3,d4b) , #d28#595#c22#1499#286#1048#15c3#399#19c8#
(1fc1,25ff) , (1fc1,25ff) , #55d#5a7#602#21cd#5a7#1671#c40#21#602#602#172c#
(1f13,250f) , (1d5,c3d) , #102a#113c#1b80#1199#c31#1774#1464#1b80#dc0#
(233,5dd) , (3b3,53f) , #2f4#37f#59b#37f#3c7#5cd#37f#576#3c0#
(17ed,19df) , (17ed,19df) , #b0#137f#82c#1188#17c#138f#137f#d47#17c#4be#1148#
(2d7,7055) , (1f3,24d) , #5be7#142a#2213#6710#ca2#3f6f#164#3b3#3045#
(4541,6959) , (1f3,24d) , #27f7#67bf#363a#5f2c#4032#4b3e#613b#9c0#4953#
(56b,1e67) , (8c3,d4b) , #b94#11db#1a6c#1609#f1f#148c#9f2#e53#15a9#
(74b9,8b49) , (6bd,2fa1) , #2f87#57e2#829#77e1#6d0e#2e27#58c7#142d#7b37#1614#
(16f,10f7) , (6bd,2fa1) , #43#f03#243#5ea#a6b#109#bd7#d2a#cf5#8c#
(43c7,4721) , (8c3,d4b) , #697#3cb7#2c73#337b#32b6#4086#2d35#fc1#471f#
(997,ec5) , (1f3,24d) , #6c4#1ad#14a#bb6#a42#bc6#28#8ad#78d#
(1e0b,5831) , (b3,3d3) , #1d1c#33f#2e01#4dce#2e01#3473#2e01#5653#
(a7,c43) , (3b3,53f) , #8ca#4cf#776#4cf#103#5ee#4cf#6b0#7fa#
(221,5dd) , (43,3d3) , #541#565#10c#2d0#10c#21a#10c#244#
(437,b33) , (8c3,d4b) , #968#1b7#5ed#1ee#2b#7c4#b11#a60#6ec#
(2aff,5ee1) , (1f3,24d) , #1486#1b80#2e08#53cf#24#3543#3395#4ffa#53ee#
(36d,a15) , (8c3,d4b) , #461#8ae#55f#8a2#41c#109#23b#1a9#5f0#
(5a7,899) , (1d5,c3d) , #48d#90#187#1a0#c5#3a8#a5#187#4a3#
(97f,cd1) , (1f3,24d) , #861#90#af5#809#7af#76f#584#35a#c3d#
(6b59,6ea1) , (6bd,2fa1) , #4bf1#1927#655e#375d#522d#5965#6287#2cdf#3a5f#595e#
(328f,7e8f) , (3b3,53f) , #13ea#7383#79a6#7383#24a3#78b1#7383#6e10#7cec#
(1f8d,28f1) , (1f8d,28f1) , #3a4#5c2#147a#15e5#2331#27ee#252e#15e5#147a#5c2#2498#
(3d7,c37) , (3d7,c37) , #be6#656#bdc#99b#6ce#8ac#656#99b#b2b#
(75d,168b) , (75d,168b) , #ad6#871#160a#d7f#99#f35#42c#ee9#13c9#1314#
(6c3,877) , (3cb,82db) , #104#29b#247#6f5#7d2#a6#4d6#248#6f5#168#
(a7,22f) , (1d5,c3d) , #e#fb#155#1bb#d8#60#11d#155#96#
(d05,304f) , (d05,304f) , #251a#1030#2e2f#12e0#2442#24c2#2e2f#2679#719#2c09#
(61f,a03) , (1d5,c3d) , #6a0#4be#85#70f#549#5a1#2ee#85#355#
(21cd,93cd) , (1f3,24d) , #77a8#5890#97b#1cae#5ce7#90ee#3bf9#5f2d#7b8#
(12f7,6dc7) , (12f7,6dc7) , #63b3#4a6f#2fa4#63c2#28af#baa#1a9a#4aae#36e0#28af#6256#
(4fd,1b1f) , (6bd,2fa1) , #2ef#1766#12a4#c61#895#d2c#e43#5af#a1f#204#
(2c65,44f5) , (8c3,d4b) , #c38#44d6#d4d#306c#3a9c#156e#17b4#263c#2cd7#
(a8b,1f8d) , (b3,3d3) , #d4a#3ea#1ee5#f52#1ee5#dff#1ee5#b36#
(2195,495b) , (6bd,2fa1) , #246c#1171#4956#17dd#391a#47d#1974#898#86d#259a#
